Zipcode,City,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
10025,New York,1195000.0,1099999.0,1040000.0,1027500.0,1050000.0,1149500.0,1275000.0
10023,New York,1725000.0,1749500.0,1749000.0,1795000.0,1795000.0,1750000.0,1695000.0
10002,New York,1500000.0,1541500.0,1575000.0,1565000.0,1551000.0,1539000.0,1495000.0
11226,New York,600000.0,595000.0,570000.0,574100.0,573200.0,585000.0,575000.0
10016,New York,1250000.0,1279000.0,1284500.0,1295000.0,1289000.0,1296500.0,1275000.0
11201,New York,1449500.0,1376250.0,1360000.0,1327000.0,1399000.0,1298000.0,1355000.0
11235,New York,499000.0,525000.0,522499.5,499000.0,519000.0,495000.0,519000.0
11375,New York,460000.0,475000.0,468500.0,450000.0,449000.0,429000.0,435000.0
10029,New York,925000.0,895000.0,877225.0,877225.0,872000.0,877225.0,875225.0
10011,New York,1750000.0,1699000.0,1770000.0,1797500.0,1795000.0,1839000.0,1795000.0
10128,New York,1595000.0,1595000.0,1500000.0,1500000.0,1550000.0,1550000.0,1670000.0
11206,New York,650500.0,722500.0,697000.0,636000.0,636000.0,649000.0,650000.0
10462,New York,177999.0,181500.0,185000.0,185000.0,189500.0,189950.0,194950.0
10019,New York,1524500.0,1557500.0,1450000.0,1550000.0,1550000.0,1350000.0,1495000.0
10003,New York,1625000.0,1657000.0,1670000.0,1685000.0,1710000.0,1749000.0,1695000.0
11230,New York,559000.0,524000.0,520000.0,525000.0,520000.0,520000.0,539000.0
10463,New York,349000.0,337000.0,337000.0,347000.0,339500.0,339000.0,349000.0
11209,New York,567500.0,525000.0,525000.0,515000.0,499999.0,527500.0,549000.0
11221,New York,725000.0,699000.0,739000.0,725000.0,699000.0,695000.0,722500.0
10024,New York,1895000.0,1999999.5,2005000.0,2250000.0,2295000.0,2250000.0,2150000.0
11214,New York,689000.0,679000.0,673940.0,668000.0,650000.0,619000.0,615000.0
11207,New York,485000.0,487000.0,492500.0,492500.0,495000.0,498000.0,498500.0
11229,New York,622000.0,637250.0,642000.0,639000.0,645000.0,592000.0,635000.0
11211,New York,1140000.0,1150000.0,1100400.0,1150000.0,1150000.0,1184365.0,1150000.0
11377,New York,468000.0,464000.0,464000.0,477000.0,479000.0,477000.0,479000.0
11234,New York,642000.0,649000.0,645000.0,650000.0,639900.0,644000.0,654500.0
11355,New York,622500.0,628000.0,628500.0,638000.0,649000.0,629000.0,634000.0
11238,New York,1035000.0,999000.0,997000.0,1051500.0,1098500.0,1098000.0,1180888.0
10314,New York,549000.0,549000.0,549000.0,549000.0,549888.0,559894.0,559000.0
11215,New York,1089000.0,1100000.0,1050000.0,1050000.0,995000.0,969000.0,995000.0
11385,New York,689993.0,697000.0,692500.0,699000.0,710000.0,706999.0,699000.0
10468,New York,239450.0,237000.0,204500.0,210000.0,232000.0,237450.0,235000.0
11373,New York,499450.0,510000.0,546500.0,549000.0,535000.0,560000.0,561000.0
10028,New York,1699000.0,1550000.0,1500000.0,1600000.0,1625000.0,1750000.0,1795000.0
11233,New York,630000.0,617500.0,625000.0,692500.0,627000.0,599000.0,588999.5
10027,New York,855000.0,855000.0,855000.0,835000.0,855000.0,899500.0,895000.0
11236,New York,489950.0,499000.0,499000.0,499000.0,519000.0,499000.0,499000.0
11372,New York,399000.0,415000.0,417500.0,410000.0,415000.0,435000.0,415000.0
11218,New York,675000.0,640500.0,622500.0,645000.0,645000.0,625000.0,625000.0
11223,New York,728000.0,728000.0,739000.0,749000.0,749000.0,734000.0,734000.0
10021,New York,1577500.0,1582500.0,1497000.0,1575000.0,1499000.0,1595000.0,1549000.0
11208,New York,550100.0,555600.0,562500.0,567000.0,569000.0,595000.0,615000.0
11225,New York,695000.0,685000.0,685000.0,695000.0,627500.0,679500.0,699000.0
11101,New York,1034500.0,1029500.0,1058789.0,1050000.0,987500.0,995000.0,980000.0
11204,New York,679000.0,669300.0,670600.0,697000.0,739000.0,768000.0,714000.0
11213,New York,585000.0,549444.5,557500.0,537500.0,549000.0,529500.0,529000.0
11219,New York,720000.0,715000.0,748000.0,720000.0,710000.0,699000.0,699000.0
10032,New York,577000.0,550000.0,550000.0,540000.0,550000.0,545000.0,550000.0
11203,New York,559000.0,554500.0,549950.0,599000.0,569000.0,588995.0,599000.0
11220,New York,582500.0,570000.0,585000.0,599000.0,599000.0,598500.0,590000.0
10031,New York,585000.0,535000.0,522500.0,509009.0,525000.0,522500.0,592000.0
11216,New York,862500.0,850000.0,796000.0,770000.0,765000.0,780000.0,777000.0
11354,New York,738000.0,720000.0,694000.0,698000.0,708000.0,698000.0,699000.0
10014,New York,1850000.0,1997450.0,1950000.0,1950000.0,1900000.0,2000000.0,2047500.0
10451,New York,325000.0,317000.0,299000.0,299999.0,295000.0,319000.0,359000.0
10466,New York,449000.0,449000.0,449000.0,449999.0,450000.0,452500.0,449450.0
10036,New York,1292500.0,1285000.0,1287500.0,1287500.0,1257500.0,1255000.0,1282500.0
11374,New York,449444.0,443500.0,439000.0,439450.0,427450.0,405000.0,430000.0
10473,New York,349500.0,350000.0,330000.0,355750.0,355250.0,389950.0,399000.0
10033,New York,620000.0,608000.0,638000.0,600000.0,599500.0,623000.0,599500.0
11434,New York,499000.0,519000.0,500000.0,500000.0,519999.0,519499.5,529500.0
11224,New York,449500.0,452500.0,449950.0,449900.0,449000.0,444000.0,485000.0
11691,New York,439000.0,445998.0,429000.0,449499.5,439000.0,449000.0,439000.0
10306,New York,588000.0,578844.0,578800.0,579394.0,578000.0,589444.0,588888.0
10010,New York,1715000.0,1752000.0,1775000.0,1797000.0,1785000.0,1795000.0,1752000.0
10469,New York,489000.0,485000.0,493999.5,493999.5,489000.0,499000.0,505000.0
10312,New York,599900.0,619444.0,624000.0,621950.0,628000.0,624950.0,619900.0
10461,New York,500000.0,517000.0,504000.0,520000.0,537499.5,535000.0,522500.0
10022,New York,1495000.0,1490000.0,1495000.0,1495000.0,1395000.0,1395000.0,1395000.0
11106,New York,695000.0,639000.0,665000.0,602000.0,599000.0,633500.0,620000.0
11222,New York,1175000.0,1100000.0,1100000.0,1149000.0,1100000.0,998000.0,998500.0
11217,New York,1250000.0,1150000.0,1102500.0,1133765.0,1100000.0,1100000.0,1085000.0
10065,New York,1895000.0,1975000.0,1895000.0,1860000.0,1800000.0,1795000.0,1795000.0
11205,New York,775000.0,750000.0,775000.0,765000.0,750000.0,719683.0,765000.0
10040,New York,529000.0,469000.0,445000.0,445000.0,445000.0,494000.0,550000.0
11249,New York,1432500.0,1512500.0,1600000.0,1650000.0,1612500.0,1537500.0,1437500.0
10034,New York,413450.0,409000.0,419500.0,399000.0,425000.0,458000.0,425000.0
10026,New York,1070000.0,975000.0,975000.0,899500.0,895000.0,874000.0,895000.0
11102,New York,710000.0,710000.0,731000.0,722500.0,704500.0,723000.0,716500.0
10013,New York,3695000.0,3797500.0,3800000.0,3710000.0,3595000.0,3595000.0,3395000.0
11231,New York,1550000.0,1625000.0,1638000.0,1649500.0,1664500.0,1690000.0,1649500.0
11365,New York,840000.0,850000.0,868000.0,875000.0,877500.0,875000.0,875000.0
11367,New York,319000.0,325000.0,327000.0,338000.0,339000.0,357777.0,385000.0
10035,New York,699000.0,699000.0,699500.0,699500.0,650000.0,650000.0,695000.0
10304,New York,587499.5,549900.0,575000.0,582000.0,575000.0,578000.0,572450.0
10301,New York,549000.0,568800.0,565000.0,538888.0,559000.0,539000.0,529000.0
10075,New York,1300000.0,1250000.0,1195000.0,1250000.0,1395000.0,1395000.0,1450000.0
10012,New York,2995000.0,2900000.0,2950000.0,2995000.0,2995000.0,2995000.0,3050000.0
